Niveaux,Homme,Femme,Remarques
Lycée,2.6,15.2,part hommes et Niveauxs qui choisissent d'aller en spécialités numériques
Etudes Sup,24.9,75.1,part hommes et Niveauxs diplomés dans les TIC
Travail,15,75,part hommes et Niveauxs travaillant dans le numériques
